source_app,dataset,prf_source,implant_id,electrode_index,x_deg,y_deg,polar_deg,ecc_deg
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,0,-0.871967,-4.849809,190.192551,4.927573
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,1,-0.648422,-5.045254,187.323578,5.086751
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,2,-0.648422,-5.045254,187.323578,5.086751
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,3,-0.478891,-5.216434,185.245300,5.238370
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,4,-0.283233,-5.386630,183.009888,5.394071
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,5,-0.283233,-5.386630,183.009888,5.394071
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,6,-0.114480,-5.504357,181.191467,5.505548
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,7,-0.114480,-5.504357,181.191467,5.505548
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,8,-0.173980,-5.634040,181.768738,5.636725
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,9,-0.173980,-5.634040,181.768738,5.636725
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,10,-0.871967,-4.849809,190.192551,4.927573
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,11,-0.648422,-5.045254,187.323578,5.086751
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,12,-0.648422,-5.045254,187.323578,5.086751
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,13,-0.478891,-5.216434,185.245300,5.238370
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,14,-0.283233,-5.386630,183.009888,5.394071
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,15,-0.283233,-5.386630,183.009888,5.394071
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,16,-0.114480,-5.504357,181.191467,5.505548
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,17,-0.114480,-5.504357,181.191467,5.505548
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,18,-0.173980,-5.634040,181.768738,5.636725
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,19,-0.173980,-5.634040,181.768738,5.636725
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,20,-0.819211,-4.547090,190.212936,4.620296
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,21,-0.618226,-4.697882,187.496857,4.738385
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,22,-0.618226,-4.697882,187.496857,4.738385
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,23,-0.450921,-4.836951,185.325958,4.857924
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,24,-0.296748,-4.944237,183.434708,4.953134
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,25,-0.296748,-4.944237,183.434708,4.953134
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,26,-0.130021,-5.009092,181.486893,5.010779
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,27,-0.130021,-5.009092,181.486893,5.010779
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,28,-0.073687,-5.186618,180.813950,5.187141
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,29,-0.073687,-5.186618,180.813950,5.187141
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,30,-0.819211,-4.547090,190.212936,4.620296
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,31,-0.618226,-4.697882,187.496857,4.738385
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,32,-0.618226,-4.697882,187.496857,4.738385
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,33,-0.450921,-4.836951,185.325958,4.857924
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,34,-0.450921,-4.836951,185.325958,4.857924
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,35,-0.296748,-4.944237,183.434708,4.953134
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,36,-0.130021,-5.009092,181.486893,5.010779
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,37,-0.130021,-5.009092,181.486893,5.010779
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,38,-0.073687,-5.186618,180.813950,5.187141
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,39,-0.073687,-5.186618,180.813950,5.187141
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,41,-0.603606,-4.412397,187.789581,4.453492
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,42,-0.603606,-4.412397,187.789581,4.453492
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,43,-0.451677,-4.533520,185.689636,4.555964
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,44,-0.451677,-4.533520,185.689636,4.555964
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,45,-0.296798,-4.623471,183.672989,4.632988
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,46,-0.134121,-4.706656,181.632263,4.708567
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,47,-0.134121,-4.706656,181.632263,4.708567
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,48,-0.112082,-4.785498,181.341690,4.786810
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,49,-0.112082,-4.785498,181.341690,4.786810
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,51,-0.603606,-4.412397,187.789581,4.453492
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,52,-0.603606,-4.412397,187.789581,4.453492
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,53,-0.451677,-4.533520,185.689636,4.555964
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,54,-0.451677,-4.533520,185.689636,4.555964
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,55,-0.296798,-4.623471,183.672989,4.632988
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,56,-0.134121,-4.706656,181.632263,4.708567
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,57,-0.134121,-4.706656,181.632263,4.708567
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,58,-0.112082,-4.785498,181.341690,4.786810
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,59,-0.112082,-4.785498,181.341690,4.786810
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,65,-0.302353,-4.342845,183.982559,4.353358
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,66,-0.302353,-4.342845,183.982559,4.353358
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,67,-0.150603,-4.407870,181.956848,4.410442
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,68,-0.070663,-4.543653,180.890991,4.544202
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,69,-0.070663,-4.543653,180.890991,4.544202
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,75,-0.302353,-4.342845,183.982559,4.353358
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,76,-0.302353,-4.342845,183.982559,4.353358
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,77,-0.150603,-4.407870,181.956848,4.410442
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,78,-0.070663,-4.543653,180.890991,4.544202
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,79,-0.070663,-4.543653,180.890991,4.544202
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,88,-0.040253,-4.314210,180.534576,4.314398
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,89,-0.040253,-4.314210,180.534576,4.314398
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,98,-0.040253,-4.314210,180.534576,4.314398
implant_explorer,human_demo,Human Demo (fsaverage),a718aabc8f49,99,-0.040253,-4.314210,180.534576,4.314398
implant_explorer,human_demo,Human Demo (fsaverage),79173c9e6c65,0,-0.833972,-5.795038,188.189285,5.854740
