source_app,dataset,prf_source,implant_id,electrode_index,x_deg,y_deg,polar_deg,ecc_deg
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,0,-0.196621,-1.468734,187.624908,1.481836
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,1,-0.246092,-1.379442,190.115128,1.401221
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,2,-0.185512,-1.259531,188.378677,1.273120
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,3,-0.185512,-1.259531,188.378677,1.273120
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,4,-0.163830,-1.203851,187.749664,1.214948
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,5,-0.126362,-1.125706,186.404709,1.132776
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,6,-0.126362,-1.125706,186.404709,1.132776
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,7,-0.126362,-1.125706,186.404709,1.132776
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,8,-0.086209,-1.046337,184.710037,1.049883
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,9,-0.102444,-0.956987,186.110153,0.962455
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,10,-0.246092,-1.379442,190.115128,1.401221
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,11,-0.246092,-1.379442,190.115128,1.401221
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,12,-0.185512,-1.259531,188.378677,1.273120
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,13,-0.185512,-1.259531,188.378677,1.273120
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,14,-0.163830,-1.203851,187.749664,1.214948
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,15,-0.126362,-1.125706,186.404709,1.132776
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,16,-0.143208,-1.046812,187.789932,1.056562
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,17,-0.143208,-1.046812,187.789932,1.056562
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,18,-0.102444,-0.956987,186.110153,0.962455
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,19,-0.102444,-0.956987,186.110153,0.962455
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,20,-0.246092,-1.379442,190.115128,1.401221
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,21,-0.246092,-1.379442,190.115128,1.401221
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,22,-0.246092,-1.379442,190.115128,1.401221
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,23,-0.215220,-1.163060,190.483780,1.182805
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,24,-0.215220,-1.163060,190.483780,1.182805
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,25,-0.182792,-1.106752,189.378326,1.121745
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,26,-0.143208,-1.046812,187.789932,1.056562
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,27,-0.143208,-1.046812,187.789932,1.056562
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,28,-0.102444,-0.956987,186.110153,0.962455
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,29,-0.102444,-0.956987,186.110153,0.962455
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,30,-0.287051,-1.292791,192.518845,1.324276
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,31,-0.287051,-1.292791,192.518845,1.324276
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,32,-0.287051,-1.292791,192.518845,1.324276
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,33,-0.215220,-1.163060,190.483780,1.182805
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,34,-0.215220,-1.163060,190.483780,1.182805
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,35,-0.182792,-1.106752,189.378326,1.121745
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,36,-0.143208,-1.046812,187.789932,1.056562
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,37,-0.143208,-1.046812,187.789932,1.056562
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,38,-0.166982,-0.970231,189.765274,0.984496
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,39,-0.129879,-0.892075,188.283600,0.901480
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,40,-0.287051,-1.292791,192.518845,1.324276
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,41,-0.287051,-1.292791,192.518845,1.324276
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,42,-0.287051,-1.292791,192.518845,1.324276
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,43,-0.215220,-1.163060,190.483780,1.182805
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,44,-0.215220,-1.163060,190.483780,1.182805
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,45,-0.206383,-1.037867,191.246719,1.058188
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,46,-0.166982,-0.970231,189.765274,0.984496
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,47,-0.166982,-0.970231,189.765274,0.984496
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,48,-0.166982,-0.970231,189.765274,0.984496
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,49,-0.129879,-0.892075,188.283600,0.901480
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,50,-0.359727,-1.383603,194.573837,1.429601
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,51,-0.287051,-1.292791,192.518845,1.324276
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,52,-0.320547,-1.182337,195.169006,1.225019
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,53,-0.320547,-1.182337,195.169006,1.225019
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,54,-0.247894,-1.089587,192.817307,1.117431
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,55,-0.247894,-1.089587,192.817307,1.117431
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,56,-0.166982,-0.970231,189.765274,0.984496
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,57,-0.166982,-0.970231,189.765274,0.984496
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,58,-0.166982,-0.970231,189.765274,0.984496
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,59,-0.129879,-0.892075,188.283600,0.901480
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,60,-0.413613,-1.275413,197.967728,1.340803
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,61,-0.320547,-1.182337,195.169006,1.225019
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,62,-0.320547,-1.182337,195.169006,1.225019
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,63,-0.320547,-1.182337,195.169006,1.225019
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,64,-0.247894,-1.089587,192.817307,1.117431
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,65,-0.247894,-1.089587,192.817307,1.117431
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,66,-0.206383,-1.037867,191.246719,1.058188
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,67,-0.199762,-0.883185,192.744934,0.905494
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,68,-0.199762,-0.883185,192.744934,0.905494
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,69,-0.199762,-0.883185,192.744934,0.905494
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,70,-0.413613,-1.275413,197.967728,1.340803
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,71,-0.320547,-1.182337,195.169006,1.225019
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,72,-0.320547,-1.182337,195.169006,1.225019
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,73,-0.320547,-1.182337,195.169006,1.225019
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,74,-0.299282,-1.003850,196.601105,1.047514
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,75,-0.299282,-1.003850,196.601105,1.047514
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,76,-0.299282,-1.003850,196.601105,1.047514
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,77,-0.199762,-0.883185,192.744934,0.905494
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,78,-0.199762,-0.883185,192.744934,0.905494
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,79,-0.199762,-0.883185,192.744934,0.905494
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,80,-0.413613,-1.275413,197.967728,1.340803
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,81,-0.492239,-1.178898,202.662567,1.277537
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,82,-0.381336,-1.080415,199.440643,1.145737
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,83,-0.381336,-1.080415,199.440643,1.145737
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,84,-0.381336,-1.080415,199.440643,1.145737
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,85,-0.299282,-1.003850,196.601105,1.047514
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,86,-0.299282,-1.003850,196.601105,1.047514
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,87,-0.199762,-0.883185,192.744934,0.905494
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,88,-0.199762,-0.883185,192.744934,0.905494
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,89,-0.235017,-0.817257,196.043533,0.850377
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,90,-0.681791,-1.196613,209.673096,1.377215
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,91,-0.492239,-1.178898,202.662567,1.277537
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,92,-0.381336,-1.080415,199.440643,1.145737
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,93,-0.381336,-1.080415,199.440643,1.145737
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,94,-0.381336,-1.080415,199.440643,1.145737
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,95,-0.299282,-1.003850,196.601105,1.047514
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,96,-0.407368,-0.921616,203.846161,1.007634
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,97,-0.295783,-0.894849,198.290756,0.942466
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,98,-0.235017,-0.817257,196.043533,0.850377
implant_explorer,human_demo,Human Demo (fsaverage),406d94b59511,99,-0.235017,-0.817257,196.043533,0.850377
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,0,-0.146702,-0.375043,201.363480,0.402714
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,1,-0.146702,-0.375043,201.363480,0.402714
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,2,-0.043088,-0.374521,186.562943,0.376991
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,3,-0.029173,-0.334251,184.988037,0.335522
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,4,-0.029173,-0.334251,184.988037,0.335522
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,5,-0.036245,-0.311144,186.644440,0.313248
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,6,-0.036245,-0.311144,186.644440,0.313248
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,10,-0.137741,-0.328360,202.757217,0.356080
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,11,-0.137741,-0.328360,202.757217,0.356080
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,12,-0.029173,-0.334251,184.988037,0.335522
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,13,-0.029173,-0.334251,184.988037,0.335522
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,14,-0.029173,-0.334251,184.988037,0.335522
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,15,-0.036245,-0.311144,186.644440,0.313248
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,16,-0.036245,-0.311144,186.644440,0.313248
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,20,-0.193639,-0.284451,214.244888,0.344105
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,21,-0.137741,-0.328360,202.757217,0.356080
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,22,-0.029173,-0.334251,184.988037,0.335522
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,23,-0.029173,-0.334251,184.988037,0.335522
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,24,-0.029173,-0.334251,184.988037,0.335522
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,30,-0.193639,-0.284451,214.244888,0.344105
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,31,-0.137741,-0.328360,202.757217,0.356080
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,32,-0.134168,-0.279834,205.615570,0.310336
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,33,-0.020711,-0.298393,183.970505,0.299111
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,34,-0.020711,-0.298393,183.970505,0.299111
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,35,-0.020711,-0.298393,183.970505,0.299111
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,40,-0.202113,-0.210772,223.798492,0.292018
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,41,-0.202113,-0.210772,223.798492,0.292018
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,42,-0.134168,-0.279834,205.615570,0.310336
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,43,-0.020711,-0.298393,183.970505,0.299111
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,44,-0.020711,-0.298393,183.970505,0.299111
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,45,-0.020711,-0.298393,183.970505,0.299111
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,50,-0.202113,-0.210772,223.798492,0.292018
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,51,-0.202113,-0.210772,223.798492,0.292018
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,52,-0.134168,-0.279834,205.615570,0.310336
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,53,-0.020711,-0.298393,183.970505,0.299111
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,54,-0.021758,-0.265158,184.691086,0.266049
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,55,-0.021758,-0.265158,184.691086,0.266049
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,60,-0.338615,-0.069385,258.419861,0.345651
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,61,-0.207681,-0.100335,244.213928,0.230648
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,62,-0.146133,-0.219436,213.661469,0.263642
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,63,-0.146133,-0.219436,213.661469,0.263642
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,64,-0.021758,-0.265158,184.691086,0.266049
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,65,-0.021758,-0.265158,184.691086,0.266049
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,66,-0.021758,-0.265158,184.691086,0.266049
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,70,-0.289038,0.058315,281.406616,0.294862
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,71,-0.207681,-0.100335,244.213928,0.230648
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,72,-0.207681,-0.100335,244.213928,0.230648
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,73,-0.146133,-0.219436,213.661469,0.263642
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,74,-0.021758,-0.265158,184.691086,0.266049
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,75,-0.021758,-0.265158,184.691086,0.266049
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,76,-0.049691,-0.217243,192.883789,0.222854
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,77,-0.040463,-0.213400,190.736572,0.217202
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,78,-0.040463,-0.213400,190.736572,0.217202
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,80,-0.289038,0.058315,281.406616,0.294862
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,81,-0.207681,-0.100335,244.213928,0.230648
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,82,-0.207681,-0.100335,244.213928,0.230648
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,83,-0.164874,-0.118037,234.400208,0.202771
implant_explorer,human_demo,Human Demo (fsaverage),55cd770370fc,84,-0.049691,-0.217243,192.883789,0.222854
