source_app,dataset,prf_source,implant_id,electrode_index,x_deg,y_deg,polar_deg,ecc_deg
synthetic,synthetic_grid,Synthetic Grid (4ecc x 4ang rotated),synthetic_001,1,3.464102,2.0,30,4
synthetic,synthetic_grid,Synthetic Grid (4ecc x 4ang rotated),synthetic_001,2,-2.0,3.464102,120,4
synthetic,synthetic_grid,Synthetic Grid (4ecc x 4ang rotated),synthetic_001,3,-3.464102,-2.0,210,4
synthetic,synthetic_grid,Synthetic Grid (4ecc x 4ang rotated),synthetic_001,4,2.0,-3.464102,300,4
synthetic,synthetic_grid,Synthetic Grid (4ecc x 4ang rotated),synthetic_001,5,4.141105,15.454813,75,16
synthetic,synthetic_grid,Synthetic Grid (4ecc x 4ang rotated),synthetic_001,6,-15.454813,4.141105,165,16
synthetic,synthetic_grid,Synthetic Grid (4ecc x 4ang rotated),synthetic_001,7,-4.141105,-15.454813,255,16
synthetic,synthetic_grid,Synthetic Grid (4ecc x 4ang rotated),synthetic_001,8,15.454813,-4.141105,345,16
synthetic,synthetic_grid,Synthetic Grid (4ecc x 4ang rotated),synthetic_001,9,31.513848,5.556742,10,32
synthetic,synthetic_grid,Synthetic Grid (4ecc x 4ang rotated),synthetic_001,10,-5.556742,31.513848,100,32
synthetic,synthetic_grid,Synthetic Grid (4ecc x 4ang rotated),synthetic_001,11,-31.513848,-5.556742,190,32
synthetic,synthetic_grid,Synthetic Grid (4ecc x 4ang rotated),synthetic_001,12,5.556742,-31.513848,280,32
synthetic,synthetic_grid,Synthetic Grid (4ecc x 4ang rotated),synthetic_001,13,41.138407,49.026844,50,64
synthetic,synthetic_grid,Synthetic Grid (4ecc x 4ang rotated),synthetic_001,14,-49.026844,41.138407,140,64
synthetic,synthetic_grid,Synthetic Grid (4ecc x 4ang rotated),synthetic_001,15,-41.138407,-49.026844,230,64
synthetic,synthetic_grid,Synthetic Grid (4ecc x 4ang rotated),synthetic_001,16,49.026844,-41.138407,320,64
